setup_id,target_ticker,support,entry_direction,dominant_signal_type,first_trigger_date,last_trigger_date,sharpe_1d,sharpe_3d,sharpe_10d,sharpe_21d,best_sharpe_horizon,fitness,recency_sharpe,avg_option_pnl_dollars_1d,avg_option_pnl_pct_1d,avg_option_pnl_dollars_3d,avg_option_pnl_pct_3d,avg_option_pnl_dollars_10d,avg_option_pnl_pct_10d,avg_option_pnl_dollars_21d,avg_option_pnl_pct_21d,description
S0104,VIX Index,6,short,rolling_beta,2025-02-25,2025-03-04,-3.8921,-19.2026,-10.4563,0.0,21d,190.1926,,5.4528,0.0047,-86.6603,-0.9797,-133.4794,-0.862,-13.1217,-0.2211,"When zscore_corr(20d)(ARKK US Equity:PX_LAST, USGG2YR Index:PX_LAST, 60d) surges unexpectedly and beta(GLD US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(AAPL US Equity:PX_LAST, DXY Curncy:PX_LAST) is very low, it may indicate a bearish outlook."
S0104,XLK US Equity,6,short,rolling_beta,2025-02-25,2025-03-04,3.4182,20.1764,29.9478,0.0,10d,190.1926,,5.4528,0.0047,-86.6603,-0.9797,-133.4794,-0.862,-13.1217,-0.2211,"When zscore_corr(20d)(ARKK US Equity:PX_LAST, USGG2YR Index:PX_LAST, 60d) surges unexpectedly and beta(GLD US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(AAPL US Equity:PX_LAST, DXY Curncy:PX_LAST) is very low, it may indicate a bearish outlook."
S0104,NVDA US Equity,6,short,rolling_beta,2025-02-25,2025-03-04,3.1753,22.0307,10.4364,0.0,3d,190.1926,,5.4528,0.0047,-86.6603,-0.9797,-133.4794,-0.862,-13.1217,-0.2211,"When zscore_corr(20d)(ARKK US Equity:PX_LAST, USGG2YR Index:PX_LAST, 60d) surges unexpectedly and beta(GLD US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(AAPL US Equity:PX_LAST, DXY Curncy:PX_LAST) is very low, it may indicate a bearish outlook."
S0104,AAPL US Equity,6,short,rolling_beta,2025-02-25,2025-03-04,8.926,12.3211,190.1926,0.0,10d,190.1926,,5.4528,0.0047,-86.6603,-0.9797,-133.4794,-0.862,-13.1217,-0.2211,"When zscore_corr(20d)(ARKK US Equity:PX_LAST, USGG2YR Index:PX_LAST, 60d) surges unexpectedly and beta(GLD US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(AAPL US Equity:PX_LAST, DXY Curncy:PX_LAST) is very low, it may indicate a bearish outlook."
S0104,TSLA US Equity,6,short,rolling_beta,2025-02-25,2025-03-04,5.8367,40.0155,75.2241,0.0,10d,190.1926,,5.4528,0.0047,-86.6603,-0.9797,-133.4794,-0.862,-13.1217,-0.2211,"When zscore_corr(20d)(ARKK US Equity:PX_LAST, USGG2YR Index:PX_LAST, 60d) surges unexpectedly and beta(GLD US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(AAPL US Equity:PX_LAST, DXY Curncy:PX_LAST) is very low, it may indicate a bearish outlook."
S0104,LLY US Equity,6,short,rolling_beta,2025-02-25,2025-03-04,-5.2474,0.4283,140.2437,0.0,10d,190.1926,,5.4528,0.0047,-86.6603,-0.9797,-133.4794,-0.862,-13.1217,-0.2211,"When zscore_corr(20d)(ARKK US Equity:PX_LAST, USGG2YR Index:PX_LAST, 60d) surges unexpectedly and beta(GLD US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(AAPL US Equity:PX_LAST, DXY Curncy:PX_LAST) is very low, it may indicate a bearish outlook."
S0104,NBIS US Equity,6,short,rolling_beta,2025-02-25,2025-03-04,3.3876,23.4782,25.7028,0.0,10d,190.1926,,5.4528,0.0047,-86.6603,-0.9797,-133.4794,-0.862,-13.1217,-0.2211,"When zscore_corr(20d)(ARKK US Equity:PX_LAST, USGG2YR Index:PX_LAST, 60d) surges unexpectedly and beta(GLD US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(AAPL US Equity:PX_LAST, DXY Curncy:PX_LAST) is very low, it may indicate a bearish outlook."
S0104,GLD US Equity,6,short,rolling_beta,2025-02-25,2025-03-04,-1.0277,-2.2954,-23.069,0.0,21d,190.1926,,5.4528,0.0047,-86.6603,-0.9797,-133.4794,-0.862,-13.1217,-0.2211,"When zscore_corr(20d)(ARKK US Equity:PX_LAST, USGG2YR Index:PX_LAST, 60d) surges unexpectedly and beta(GLD US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(AAPL US Equity:PX_LAST, DXY Curncy:PX_LAST) is very low, it may indicate a bearish outlook."
S0104,ARKK US Equity,6,short,rolling_beta,2025-02-25,2025-03-04,1.8947,22.8632,57.9677,0.0,10d,190.1926,,5.4528,0.0047,-86.6603,-0.9797,-133.4794,-0.862,-13.1217,-0.2211,"When zscore_corr(20d)(ARKK US Equity:PX_LAST, USGG2YR Index:PX_LAST, 60d) surges unexpectedly and beta(GLD US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(AAPL US Equity:PX_LAST, DXY Curncy:PX_LAST) is very low, it may indicate a bearish outlook."
S0104,XLE US Equity,6,short,rolling_beta,2025-02-25,2025-03-04,7.3158,11.0866,-0.5854,0.0,3d,190.1926,,5.4528,0.0047,-86.6603,-0.9797,-133.4794,-0.862,-13.1217,-0.2211,"When zscore_corr(20d)(ARKK US Equity:PX_LAST, USGG2YR Index:PX_LAST, 60d) surges unexpectedly and beta(GLD US Equity:PX_LAST, SPCSUSA Index:PX_LAST, 60d) is very low and corr_delta(20d-60d)(AAPL US Equity:PX_LAST, DXY Curncy:PX_LAST) is very low, it may indicate a bearish outlook."
