setup_id,rank,best_performing_ticker,obj_sortino,obj_calmar,obj_support,entry_direction,first_trigger_date,last_trigger_date,recency_sharpe,avg_option_pnl_dollars_1d,avg_option_pnl_pct_1d,avg_option_pnl_dollars_3d,avg_option_pnl_pct_3d,avg_option_pnl_dollars_10d,avg_option_pnl_pct_10d,avg_option_pnl_dollars_21d,avg_option_pnl_pct_21d,description
S0449,1,QQQ US Equity,999.0,999.0,7,long,2022-03-07,2022-07-21,,114.793,57.9124,244.6197,61.0021,740.4338,119.0305,922.3471,85.508,"When div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity is very high and corr(USGG10YR Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) is very high and corr(DXY Curncy:PX_LAST, USSW10 Curncy:PX_LAST, 20d) drops sharply, it may indicate a bullish outlook."
S0417,1,TSLA US Equity,67.3076,297173.6678,10,long,2020-10-27,2024-11-06,4.4258,-19.84,-9.4586,-78.5956,-38.7805,394.5417,78.9391,506.6515,71.6174,"When corr(CO1 Comdty:PX_LAST, NBIS US Equity:PX_LAST, 60d) drops sharply and div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high and div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity is very high, it may indicate a bullish outlook."
S0472,1,QQQ US Equity,57.437,621020.6975,18,long,2018-10-19,2025-03-07,5.7676,80.3681,40.1032,188.4499,51.0973,507.452,77.8168,522.8816,49.9949,"When div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high and corr_DXY Curncy:PX_LAST_LF94TRUU Index:PX_LAST_20d_z is very high and div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity is very high, it may indicate a bullish outlook."
S0496,1,QQQ US Equity,35.5221,59126.296,27,long,2018-10-19,2025-03-07,6.3333,32.4037,14.6025,89.358,19.9458,342.1343,46.315,397.3621,34.9547,"When div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high and corr_DXY Curncy:PX_LAST_LF94TRUU Index:PX_LAST_20d_z is very high and div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
S0491,1,QQQ US Equity,35.476,249506.9182,20,long,2019-01-01,2025-01-31,4.3991,35.3198,33.7982,51.6122,27.7862,269.2044,54.4792,464.4752,46.2556,"When corr_delta_AAPL US Equity:PX_LAST_GLD US Equity:PX_LAST_z is very low and div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high and corr_DXY Curncy:PX_LAST_LF94TRUU Index:PX_LAST_20d_z is very high, it may indicate a bullish outlook."
S0377,1,ARKK US Equity,33.7529,116883.9748,34,long,2018-04-25,2024-10-28,3.4321,-14.774,-11.1483,-83.3639,-23.4515,114.3522,28.2535,252.6847,39.9379,"When div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity is very high and mom_div_vol(PX_LAST, 5d, 20d)__DXY Curncy is very high and div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
S0403,1,ARKK US Equity,32.6455,203160.8954,28,long,2019-09-05,2025-06-18,4.9084,33.598,19.7647,52.0343,16.8596,242.1702,47.1568,444.5175,53.0426,"When div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high and div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high and corr_delta_AAPL US Equity:PX_LAST_GLD US Equity:PX_LAST_z is very low, it may indicate a bullish outlook."
S0474,1,LLY US Equity,16.484,984.7015,44,long,2019-01-01,2025-01-31,1.9789,31.3478,25.1433,47.0377,17.8218,180.1556,30.2053,348.3476,32.2407,"When corr_DXY Curncy:PX_LAST_LF94TRUU Index:PX_LAST_20d_z is very high and corr_delta_AAPL US Equity:PX_LAST_GLD US Equity:PX_LAST_z is very low and corr_LLY US Equity:PX_LAST_TSLA US Equity:PX_LAST_60d_z is very high, it may indicate a bullish outlook."
S0437,1,TSLA US Equity,15.36,1781.3248,48,long,2019-06-21,2025-06-20,5.5713,22.9667,16.2631,84.0769,29.37,246.4384,53.2002,303.8247,54.3425,"When div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high and corr_delta(20d-60d)(MLCX3CRT Index:PX_LAST, VIX Index:PX_LAST) is very high and div(IVOL_SIGMA, VOLUME)__ARKK US Equity is very high, it may indicate a bullish outlook."
S0367,1,ARKK US Equity,15.0568,1512.6501,49,long,2019-06-21,2025-06-20,5.2891,18.003,13.6876,68.5878,25.7689,238.175,53.6708,281.8652,49.3678,"When corr_delta(20d-60d)(MLCX3CRT Index:PX_LAST, VIX Index:PX_LAST) is very high and div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high and div(PUT_IMP_VOL_30D, VOLUME)__ARKK US Equity is very high, it may indicate a bullish outlook."
S0487,1,TSLA US Equity,14.4833,1094.842,58,long,2018-07-24,2025-02-10,1.0576,45.5596,28.3303,77.9955,32.0404,229.7078,50.8331,310.2539,43.3417,"When div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high and corr(DXY Curncy:PX_LAST, INJCJC Index:PX_LAST, 60d) surges unexpectedly, it may indicate a bullish outlook."
S0251,1,NBIS US Equity,12.8273,5788.0686,39,long,2018-08-16,2025-05-07,5.1655,12.3608,30.776,69.576,32.3388,241.5663,56.3201,265.0931,49.1455,"When div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high and corr(FARBAST Index:PX_LAST, GLD US Equity:PX_LAST, 20d) surges unexpectedly, it may indicate a bullish outlook."
S0311,1,TSLA US Equity,11.7136,844.0779,82,long,2018-04-25,2025-06-20,2.1314,16.9222,28.4292,5.0838,19.0984,55.9806,22.4816,169.5224,38.6181,"When mom_div_vol(PX_LAST, 5d, 20d)__DXY Curncy is very high and div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
S0282,1,LLY US Equity,8.8663,52.8568,85,long,2018-06-11,2025-07-30,-0.6748,1.2275,9.3423,24.3432,11.1128,64.4065,18.4653,83.2729,18.2984,"When corr_DXY Curncy:PX_LAST_LF94TRUU Index:PX_LAST_20d_z is very high and zscore_PUT_IMP_VOL_30D_30d__AAPL US Equity is very high and zscore_CALL_IMP_VOL_30D_30d__AAPL US Equity is very high, it may indicate a bullish outlook."
S0335,1,TSLA US Equity,8.1922,75.1069,85,long,2018-10-19,2025-07-29,-6.1896,32.3928,24.8307,64.7385,21.3599,138.7735,28.7957,90.3692,16.8093,"When corr_DXY Curncy:PX_LAST_LF94TRUU Index:PX_LAST_20d_z is very high and div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high, it may indicate a bullish outlook."
S0298,1,TSLA US Equity,7.7054,58.684,94,long,2018-11-15,2025-07-15,2.8502,13.6678,11.4356,42.629,18.956,138.8003,33.3665,220.5448,42.9198,"When div(PUT_IMP_VOL_30D, VOLUME)__ARKK US Equity is very high and corr_delta(20d-60d)(MLCX3CRT Index:PX_LAST, VIX Index:PX_LAST) is very high, it may indicate a bullish outlook."
S0497,1,NVDA US Equity,7.2803,379.4345,147,long,2018-04-10,2025-05-23,7.4977,12.2365,4.7959,7.306,0.6653,166.9944,30.9193,254.9571,39.0721,"When div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity is very high and div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
S0412,1,NVDA US Equity,7.1223,653.6485,121,long,2018-04-10,2025-05-12,8.7511,18.5807,10.7111,19.4269,6.7971,199.6426,37.1514,291.1163,42.6454,"When div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity is very high and div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high and div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
S0493,1,TSLA US Equity,6.819,186.7474,166,long,2018-04-10,2025-06-18,7.9302,24.6942,18.3815,29.4709,12.4101,168.6957,32.8341,231.0076,33.7839,"When div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high and div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high, it may indicate a bullish outlook."
S0468,1,TSLA US Equity,6.2713,55.7301,384,long,2018-04-10,2025-06-20,3.623,17.1797,18.4355,21.2171,10.9727,104.2708,23.4642,167.9624,32.4939,"When div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
S0480,1,NVDA US Equity,3.3585,6.1537,390,long,2018-02-21,2025-08-04,3.9327,9.2683,10.6538,11.4278,10.1522,45.8902,16.737,88.7647,24.1338,"When zscore_IVOL_SIGMA_30d__GLD US Equity is very high, it may indicate a bullish outlook."
S0471,1,QQQ US Equity,-99.0,9.967211593814925e+16,14,long,2022-03-07,2023-05-16,5.1791,84.333,49.3152,145.826,41.3711,591.8808,95.9076,679.7763,55.3508,"When corr_delta_AAPL US Equity:PX_LAST_GLD US Equity:PX_LAST_z is very low and corr_DXY Curncy:PX_LAST_LF94TRUU Index:PX_LAST_20d_z is very high and corr(USGG10YR Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) is very high, it may indicate a bullish outlook."
S0364,1,NVDA US Equity,-99.0,120909220.3554,16,long,2022-03-07,2023-02-14,4.8032,45.8171,14.6494,64.0507,1.7119,542.6826,86.6029,726.1071,71.1175,"When corr(USGG10YR Index:PX_LAST, USSW10 Curncy:PX_LAST, 60d) is very high and corr_delta_AAPL US Equity:PX_LAST_GLD US Equity:PX_LAST_z is very low and div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
