setup_id,rank,best_performing_ticker,obj_sortino,obj_calmar,obj_support,entry_direction,first_trigger_date,last_trigger_date,recency_sharpe,avg_option_pnl_dollars_1d,avg_option_pnl_pct_1d,avg_option_pnl_dollars_3d,avg_option_pnl_pct_3d,avg_option_pnl_dollars_10d,avg_option_pnl_pct_10d,avg_option_pnl_dollars_21d,avg_option_pnl_pct_21d,description
S4292,1,QQQ US Equity,100.0,100.0,15,long,2018-12-25,2025-04-18,5.4079,45.6097,14.5167,60.46,3.598,480.1885,72.9875,478.5538,81.0377,"When div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high and corr_delta(20d-60d)(AAPL US Equity:PX_LAST, NVDA US Equity:PX_LAST) surges unexpectedly and div(PUT_IMP_VOL_30D, VOLUME)__GLD US Equity surges unexpectedly, it may indicate a bullish outlook."
S7905,1,QQQ US Equity,100.0,100.0,15,long,2018-12-25,2025-04-18,5.4079,64.7662,28.0069,85.6796,14.6402,487.546,69.3506,476.1424,76.4343,"When div(CALL_IMP_VOL_30D, VOLUME)__SPY US Equity is very high and corr_delta(20d-60d)(AAPL US Equity:PX_LAST, NVDA US Equity:PX_LAST) surges unexpectedly and div(PUT_IMP_VOL_30D, VOLUME)__GLD US Equity surges unexpectedly, it may indicate a bullish outlook."
S7662,1,GLD US Equity,88.9388,100.0,16,long,2019-07-03,2025-03-07,4.2149,10.4286,33.2891,34.7874,40.8931,111.6423,49.4519,190.7476,59.9731,"When div(PUT_IMP_VOL_30D, VOLUME)__AAPL US Equity is very high and div(PUT_IMP_VOL_30D, VOLUME)__GLD US Equity is very high and zscore_corr(20d)(LF94TRUU Index:PX_LAST, NBIS US Equity:PX_LAST, 60d) is very high, it may indicate a bullish outlook."
S7914,1,NBIS US Equity,82.275,100.0,18,long,2020-03-16,2025-04-18,3.9229,22.077,24.2357,66.3632,27.5069,318.3035,57.1278,350.9523,49.9778,"When div(PUT_IMP_VOL_30D, VOLUME)__GLD US Equity surges unexpectedly and div(IVOL_SIGMA, VOLUME)__TSLA US Equity is very high and zscore_corr(20d)(NVDA US Equity:PX_LAST, SPX Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook."
S6467,1,NBIS US Equity,61.4827,100.0,20,long,2020-03-17,2025-04-30,5.4774,-6.2812,-15.3374,49.5288,1.5277,451.8361,68.7439,410.2432,55.8313,"When zscore_corr(20d)(NVDA US Equity:PX_LAST, SPX Index:PX_LAST, 60d) is very high and div(PUT_IMP_VOL_30D, VOLUME)__GLD US Equity surges unexpectedly and div(IVOL_SIGMA, VOLUME)__AAPL US Equity is very high, it may indicate a bullish outlook."
S7397,1,QQQ US Equity,58.8213,100.0,36,long,2020-03-17,2025-05-07,10.0921,32.2892,25.3465,138.8974,53.5668,418.8039,93.4372,564.8249,101.8415,"When beta(SPX Index:PX_LAST, TSLA US Equity:PX_LAST, 60d) is very high and div(CALL_IMP_VOL_30D, VOLUME)__ARKK US Equity is very high and zscore_corr(20d)(NVDA US Equity:PX_LAST, SPX Index:PX_LAST, 60d) is very high, it may indicate a bullish outlook."
S7839,1,SPY US Equity,57.7383,100.0,38,long,2019-08-16,2025-04-22,8.0705,39.126,37.6796,71.3572,38.0026,324.2268,54.9764,446.1749,70.8733,"When zscore_corr(20d)(NVDA US Equity:PX_LAST, SPX Index:PX_LAST, 60d) is very high and div(PUT_IMP_VOL_30D, VOLUME)__GLD US Equity is very high and div(PUT_IMP_VOL_30D, VOLUME)__LLY US Equity is very high, it may indicate a bullish outlook."
S6293,1,SPY US Equity,55.6632,100.0,40,long,2018-10-19,2025-04-17,5.9831,33.3901,31.4258,25.875,24.3552,314.1442,51.6682,374.2268,57.5849,"When div(PUT_IMP_VOL_30D, VOLUME)__LLY US Equity is very high and zscore_corr(20d)(NVDA US Equity:PX_LAST, SPX Index:PX_LAST, 60d) is very high and div(IVOL_SIGMA, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
S7852,1,NBIS US Equity,55.0162,100.0,47,long,2019-08-30,2025-05-05,9.975,82.6468,28.5743,155.1648,37.1255,407.2955,76.184,623.9817,95.182,"When corr_delta_AAPL US Equity:PX_LAST_ARKK US Equity:PX_LAST_z is very high and corr_AAPL US Equity:PX_LAST_SPY US Equity:PX_LAST_60d_z is very high and beta_SPX Index:PX_LAST_XLK US Equity:PX_LAST_60d_z is very high, it may indicate a bullish outlook."
S7115,1,NBIS US Equity,42.4979,100.0,58,long,2019-08-16,2025-05-05,11.3449,53.5785,40.0877,100.2171,48.2993,359.9163,69.206,482.7604,75.2074,"When zscore_corr(20d)(NVDA US Equity:PX_LAST, SPX Index:PX_LAST, 60d) is very high and corr_AAPL US Equity:PX_LAST_SPY US Equity:PX_LAST_60d_z is very high and div(PUT_IMP_VOL_30D, VOLUME)__GLD US Equity is very high, it may indicate a bullish outlook."
